,city,year,sightings,date_time,date,time,temp,humidity,cloudcover,visibility,heatindex,moon_illumination
34520,Edna,2012,1,05-19 21:00:00,2012-05-19,21,59,86,12,6,59,0
22202,Torrance,2009,1,02-20 20:30:00,2009-02-20,20,55,60,32,6,55,14
31137,L&#39Anse,2011,1,04-24 23:12:00,2011-04-24,23,41,82,9,6,41,46
10307,Warren,2013,1,11-23 02:42:00,2013-11-23,2,30,81,2,6,30,54
22623,Sweetwater,2012,1,02-22 21:00:00,2012-02-22,21,72,77,7,6,77,0
19756,Holts Summit,2012,1,01-03 21:00:00,2012-01-03,21,30,51,51,6,30,62
56920,Commerce,2013,1,08-06 01:45:00,2013-08-06,1,64,57,8,6,64,0
58267,Signal Mountain,2011,1,09-01 22:00:00,2011-09-01,22,73,83,6,6,77,20
44454,Fenton,2008,1,07-13 04:18:00,2008-07-13,4,63,77,5,6,63,68
6979,Menomonie,2011,1,11-01 21:05:00,2011-11-01,21,45,97,78,6,45,35
20710,Oakville,2014,1,02-10 20:35:00,2014-02-10,20,7,83,24,6,7,74
19338,Jefferson,2010,1,01-29 13:25:00,2010-01-29,13,19,65,90,2,19,97
28274,Margate,2012,1,03-07 10:43:00,2012-03-07,10,45,87,100,6,45,98
15614,Yankton,2014,1,01-02 20:00:00,2014-01-02,20,1,90,58,6,1,2
22500,Sicklerville,2013,1,02-02 00:00:00,2013-02-02,0,18,76,1,6,18,44
36390,Schwenksville,2014,1,05-04 21:10:00,2014-05-04,21,45,75,3,6,45,31
52111,Carmichael,2011,1,08-13 18:00:00,2011-08-13,18,75,42,0,6,77,96
52066,Greenville,2009,1,08-13 01:26:00,2009-08-13,1,70,92,41,6,70,44
8618,Myrtle Beach,2010,1,11-18 20:00:00,2010-11-18,20,54,62,2,6,54,83
32370,Kissimmee,2014,1,04-05 22:00:00,2014-04-05,22,70,88,34,6,73,36
17152,Pinehurst,2008,1,12-29 01:15:00,2008-12-29,1,59,96,100,6,59,9
47696,White Lake,2013,1,07-27 22:45:00,2013-07-27,22,57,52,2,6,57,65
3376,Fairfield,2011,1,10-23 00:00:00,2011-10-23,0,61,46,0,6,61,17
45760,Waldport,2013,1,07-17 22:40:00,2013-07-17,22,52,94,6,4,52,62
5639,Opelika,2013,1,10-06 23:11:00,2013-10-06,23,68,98,76,5,68,7
55247,Monroe,2011,1,08-26 20:30:00,2011-08-26,20,82,73,12,6,88,9
29904,Tucson,2014,1,04-16 20:40:00,2014-04-16,20,73,9,0,6,72,81
5848,Ukiah,2008,1,10-08 21:00:00,2008-10-08,21,54,47,0,6,54,57
52890,Hamburg,2011,1,08-15 17:00:00,2011-08-15,17,63,81,29,6,63,89
43635,Elizabethtown,2008,1,07-11 00:40:00,2008-07-11,0,66,59,4,6,66,54
21845,Mounds View,2012,1,02-17 19:10:00,2012-02-17,19,30,68,41,6,30,18
22497,Henderson,2012,1,02-02 20:15:00,2012-02-02,20,48,29,3,6,48,68
